Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
188,6.2951,6.3304,6.4058,6.6637,6.473,6.5052,7.2754,7.5182,7.255,6.4251,6.767,6.9747,6.5786,6.6113,6.2867,6.6269,6.8077,7.0005,6.0738,6.8095,6.0404,6.4601,5.9918,6.2118,6.4242,6.8207,6.2021,5.9967,5.8527,5.9526,6.2265,6.3231,6.3019,6.4478,6.5323,6.396,6.1297,6.1558,6.1166,6.3782,6.3123,6.3669,5.6664,5.6696,5.638,5.8724,5.8297,5.9484,6.0933,5.7971,6.0161,6.0836,6.2124,6.1105,6.9414,6.9911,6.9739,7.0872,6.9791,6.9808,7.294,7.0796,7.2543,7.0221,7.5068,7.5384,6.3708,6.4222,6.4564,6.4993,6.4877,6.4553,6.627,6.5815,6.5905,6.8137,6.9019,7.0109,6.9309,7.0166,6.934,7.1391,6.9659,6.842,7.0591,7.015,6.8838,6.1706,6.181,6.2082,6.4004,6.361,6.4477,6.6205,6.4642,6.448,6.6962,6.8057,6.7828,6.4733,6.6246,6.5815
192,6.2965,6.3324,6.4101,6.666,6.4778,6.5079,7.2801,7.5192,7.2594,6.4297,6.7694,6.9778,6.5821,6.6142,6.2905,6.6259,6.8095,7.0036,6.079,6.8098,6.0423,6.4599,5.9955,6.2093,6.4233,6.8244,6.2061,5.9991,5.8555,5.9559,6.2294,6.3266,6.3046,6.4497,6.5342,6.3976,6.1289,6.1585,6.1198,6.3824,6.3164,6.3692,5.6676,5.6733,5.6416,5.8749,5.8337,5.9524,6.0955,5.7999,6.0185,6.0859,6.2189,6.1136,6.9445,6.9924,6.9778,7.0895,6.9844,6.9836,7.2966,7.083,7.2576,7.0256,7.5091,7.5439,6.374,6.4233,6.4597,6.5042,6.4901,6.4569,6.6309,6.5856,6.5937,6.8178,6.9058,7.0155,6.9359,7.0197,6.9373,7.1418,6.9691,6.8447,7.0614,7.0165,6.8873,6.175,6.181,6.2112,6.4024,6.3664,6.4503,6.6225,6.4683,6.4554,6.6983,6.8098,6.7862,6.4775,6.6277,6.5835
196,6.296,6.334,6.4129,6.6656,6.482,6.5106,7.2795,7.5191,7.2621,6.4323,6.7732,6.9788,6.5862,6.6177,6.2949,6.6288,6.8105,6.9999,6.078,6.8107,6.0402,6.4611,5.9935,,6.4292,6.8267,6.2099,6.0037,5.858,5.9575,6.2343,6.3293,6.307,6.451,6.5344,6.4013,6.1292,6.1608,6.1213,6.3843,6.3196,6.3731,5.6695,5.6763,5.6433,5.8783,5.8367,5.9545,6.0998,5.8033,6.0219,6.0895,6.2226,6.1187,6.9484,6.9962,6.9812,7.0902,6.9906,6.9854,7.2991,7.0861,7.26,7.0301,7.5132,7.5478,6.3756,6.4268,6.462,6.5066,6.4908,6.458,6.633,6.5873,6.5966,6.8216,6.9081,7.0139,6.9371,7.0227,6.9404,7.1454,6.9725,6.8474,7.0624,7.0179,6.8896,6.1775,6.1836,6.2138,6.4052,6.3695,6.4535,6.6255,6.4689,6.4593,6.7012,6.8124,6.7883,6.4795,6.6317,6.5858
200,6.298,6.334,6.4152,6.6691,6.4855,6.5139,7.2788,7.5212,7.2609,6.4341,6.7727,6.9798,6.5893,6.6199,6.2994,6.629,6.8101,7.0062,6.0821,6.8105,6.0377,6.4592,5.9981,,6.4249,6.8288,6.2125,6.0071,5.8622,5.9612,6.2377,6.3319,6.3088,6.4524,6.5358,6.4031,6.1294,6.1621,6.1222,6.3876,6.3227,6.3761,5.673,5.6791,5.6447,5.8817,5.8395,5.9565,6.1039,5.8057,6.0227,6.093,6.2267,6.1226,6.9519,6.9983,6.9834,7.0923,6.9963,6.9878,7.3022,7.0888,7.2627,7.0329,7.5169,7.5535,6.3771,6.4289,6.4649,6.5087,6.4918,6.46,6.6365,6.5922,6.599,6.8266,6.9114,7.0199,6.9402,7.0265,6.9442,7.1473,6.9763,6.8497,7.0649,7.0168,6.8925,6.1794,6.1836,6.2159,6.4084,6.3721,6.4566,6.6279,6.4716,6.465,6.7052,6.816,6.7932,6.4812,6.6369,6.5883
204,6.2982,6.3366,6.4184,6.6673,6.4893,6.5162,7.2815,7.5199,7.2597,6.4377,6.7726,6.9827,6.5916,6.622,6.3038,6.6325,6.8096,7.0015,6.0811,6.809,6.0434,6.4604,5.9964,,6.4267,6.8311,6.2147,6.0103,5.8646,5.9641,6.241,6.3344,6.3121,6.4535,6.5356,6.4055,6.1296,6.1654,6.1243,6.391,6.3258,6.3796,5.6757,5.6825,5.647,5.8828,5.8426,5.9603,6.1059,5.8081,6.0249,6.0964,6.2286,6.1261,6.9534,7.0016,6.9869,7.0948,6.998,6.9905,7.3046,7.0912,7.2642,7.0369,7.5192,7.5576,6.3805,6.4302,6.4676,6.5123,6.492,6.4609,6.6396,6.5933,6.6005,6.8286,6.9145,7.0189,6.9451,7.0294,6.9457,7.1488,6.9785,6.8524,7.0681,7.0204,6.8941,6.1801,6.1851,6.2195,6.4099,6.3731,6.4584,6.6314,6.4711,6.4682,6.7069,6.8199,6.7964,6.4839,6.6388,6.5899
208,6.2986,6.3381,6.4206,6.6689,6.4923,6.5195,7.285,7.5193,7.2616,6.4401,6.7743,6.9832,6.5963,6.6247,6.3069,6.6299,6.81,7.0022,6.0801,6.8114,6.0393,6.4608,,,6.4293,6.8328,6.2171,6.0129,5.8667,5.9647,6.2432,6.3362,6.3151,6.4545,6.5353,6.4069,,6.1662,6.1232,6.395,6.3302,6.3827,5.6772,5.6851,5.648,5.8874,5.8462,5.9618,6.1094,5.8107,6.0266,6.0998,6.2319,6.1302,6.9556,7.005,6.9891,7.0974,7.0003,6.9932,7.3071,7.0935,7.2662,7.0385,7.5226,7.561,6.3811,6.4331,6.4698,6.5158,6.4923,6.4624,6.6416,6.597,6.6034,6.8304,6.9176,7.0216,6.9466,7.0312,6.9501,7.1509,6.9803,6.8548,7.0709,7.0222,6.897,6.183,6.1852,6.2211,6.4138,6.3754,6.4608,6.6336,6.4731,6.4709,6.7104,6.8222,6.7989,6.4854,6.6417,6.5928
212,6.2988,6.3375,6.4233,6.6683,6.4948,6.5225,7.285,7.5193,7.2638,6.4434,6.7752,6.9834,6.5994,6.6267,6.3116,6.6313,6.811,7.0062,6.0831,6.8079,6.046,6.4592,,,6.4296,6.8315,6.2206,6.0165,5.8698,5.969,6.2469,6.3394,6.3185,6.4586,6.535,6.4101,,6.169,6.1245,6.3972,6.3355,6.3846,5.6802,5.6884,5.6496,5.8894,5.8486,5.9646,6.1122,5.8133,6.0282,6.1025,6.2342,6.1338,6.9591,7.0068,6.9923,7.1003,7.0023,6.996,7.3094,7.0946,7.2695,7.0432,7.5242,7.5642,6.3844,6.4354,6.4738,6.5188,6.4936,6.4627,6.6448,6.5991,6.6043,6.834,6.9207,7.0251,6.9488,7.0332,6.9525,7.1524,6.9853,6.8569,7.0727,7.0237,6.9005,6.1861,6.1883,6.2236,6.4158,6.3767,6.4626,6.6354,6.4746,6.473,6.7128,6.8241,6.8016,6.489,6.644,6.5937
216,6.2995,6.339,6.4266,6.6672,6.4982,6.5246,7.2851,7.5207,7.2624,6.4467,6.7788,6.9852,6.6014,6.6297,6.315,6.6306,6.8128,6.9994,6.0822,,6.0417,6.4583,,,,6.8285,6.2233,6.0202,5.871,5.9709,6.2498,6.3413,6.3209,6.4609,6.5371,6.4124,,6.1714,6.1264,6.4005,6.337,6.388,5.6826,5.6917,5.6523,5.8923,5.85,5.9666,6.1159,5.8156,6.031,6.1053,6.2365,6.1346,6.9627,7.0096,6.995,7.1029,7.0015,6.9992,7.3118,7.0977,7.2719,7.0451,7.5273,7.568,6.3862,6.4371,6.475,6.5207,6.4923,6.4644,6.6488,6.6009,6.6075,6.8383,6.9232,7.024,6.9518,7.0362,6.9547,7.1548,6.9886,6.8604,7.0755,7.0282,6.9032,6.187,6.1878,6.2257,6.4182,6.3785,6.4643,6.6389,6.477,6.4755,6.7169,6.8274,6.8037,6.4909,6.6472,6.5983
220,6.3005,6.3393,6.4292,6.6709,6.5019,6.5274,7.2824,7.5218,7.2593,6.4494,6.7787,6.9863,6.605,6.6322,6.3187,6.6325,6.8135,,6.0793,,6.0447,,,,,6.8331,6.2264,6.0223,5.8745,5.9722,6.2512,6.3438,6.3226,6.4637,6.5383,6.4147,,6.1721,6.1296,6.402,6.34,6.3905,5.6841,5.6957,5.6536,5.8948,5.8533,5.9695,6.1181,5.8174,6.033,6.1075,6.2383,6.1367,6.965,7.0125,6.9963,7.1042,7.0016,7.0021,7.316,7.0997,7.2746,7.0474,7.5295,7.5718,6.3875,6.4406,6.4758,6.5226,6.4941,6.4656,6.6497,6.6048,6.6094,6.8404,6.9256,7.0281,6.9532,7.039,6.9578,7.157,6.9915,6.8621,7.0798,7.0314,6.9062,6.1907,6.1907,6.2291,6.421,6.3808,6.4682,6.641,6.4795,6.4768,6.7198,6.8299,6.8063,6.4932,6.6498,6.598
224,6.2999,6.3413,6.4325,6.67,6.504,6.5296,7.2827,7.5232,7.2631,6.4511,6.7853,6.9869,6.6078,6.6354,6.3207,6.6286,6.8132,,6.0802,,6.0457,,,,,6.8328,6.2293,6.0245,5.8771,5.976,6.2552,6.3461,6.3248,6.4679,6.5402,6.4166,,6.1749,6.1335,6.4034,6.3408,6.3937,5.6871,5.6972,5.6556,5.8975,5.8558,5.9725,6.1212,5.8205,6.0351,6.1106,6.2418,6.1378,6.9666,7.0145,7.0005,7.1077,7.0045,7.0033,7.319,7.1016,7.2785,7.0501,7.5344,7.5734,6.3905,6.4432,6.4799,6.5253,6.4954,6.4651,6.6517,6.6068,6.6114,6.8437,6.9298,7.0312,6.9549,7.0404,6.9615,7.1592,6.9939,6.8652,7.081,7.0328,6.9094,6.1931,6.191,6.231,6.422,6.3833,6.4704,6.6444,6.481,6.4786,6.7216,6.8323,6.808,6.4949,6.6526,6.6017
228,6.3005,6.3434,6.4353,6.6703,6.5072,6.5323,7.2826,7.5222,,6.4542,6.7837,6.9878,6.6107,6.6362,6.3237,6.6303,6.8137,,6.0797,,6.0393,,,,,6.8332,6.2306,6.0286,5.8804,5.9786,6.2585,6.3484,6.3274,6.4698,6.5403,6.4199,,6.1757,6.1363,6.4072,6.3438,6.3953,5.6889,5.7012,5.6579,5.9006,5.8586,5.9755,6.1229,5.8228,6.0362,6.1124,6.2439,6.1378,6.9687,7.0168,7.0018,7.1101,7.0071,7.007,7.32,7.1054,7.2803,7.052,7.5363,7.5775,6.3923,6.4443,6.4815,6.5276,6.4949,6.4662,6.655,6.6091,6.6137,6.8454,6.9308,7.033,6.9574,7.0414,6.9626,7.1603,6.9958,6.8672,7.0827,7.0354,6.914,6.1965,6.1918,6.233,6.4244,6.3864,6.4723,6.6469,6.4817,6.4787,6.7238,6.8352,6.8102,6.4959,6.6543,6.6035
232,6.3007,6.3439,6.4384,6.6713,6.5099,6.5359,7.2823,,,6.458,6.7862,6.9884,6.615,6.6377,6.3271,,6.8146,,,,,,,,,6.8372,6.234,6.0319,5.8809,5.9801,6.2611,6.3523,6.3285,6.4712,6.5408,6.4222,,6.1773,6.1408,6.4067,6.3437,6.3978,5.6902,5.7032,5.6596,5.9032,5.8605,5.9783,6.1259,5.8243,6.0373,6.1152,6.2464,6.1391,6.9727,7.019,7.0023,7.1121,7.0084,7.0095,7.3226,7.1062,7.2825,7.0543,7.5389,7.5821,6.3938,6.4463,6.4843,6.5288,6.495,6.4678,6.6582,6.6115,6.615,6.8493,6.9344,7.0342,6.9606,7.0442,6.965,7.1634,6.9991,6.8696,7.0852,7.0373,6.9164,6.1985,6.1929,6.2353,6.4259,6.3912,6.4748,6.6474,6.4824,6.481,6.727,6.8377,6.8121,6.4992,6.6576,6.6031
236,6.3004,6.345,6.4406,6.6707,6.5124,6.5377,,,,6.4597,6.7846,6.9897,6.617,6.6395,6.3304,,6.816,,,,,,,,,6.8354,6.2375,6.0342,5.8831,5.9827,6.2628,6.3541,6.3323,6.4733,6.5411,6.4247,,6.1803,6.1447,6.4087,6.344,6.3994,5.6921,5.7061,5.6613,5.9059,5.8628,5.9801,6.126,5.8266,6.0398,6.1186,6.2499,6.1419,6.972,7.0217,7.004,7.1141,7.0124,7.0109,7.3249,7.1084,7.2846,7.0581,7.5407,7.585,6.396,6.4483,6.4844,6.5305,6.4963,6.4682,6.6614,6.615,6.6161,6.8496,6.9373,7.0376,6.9634,7.047,6.9677,7.166,7.0008,6.8721,7.0875,7.0391,6.9181,6.2015,6.1926,6.2383,6.4285,6.3947,6.4761,6.6521,6.4831,6.4851,6.7307,6.8393,6.8142,6.5001,6.66,6.6054
240,6.3013,6.3472,6.4443,6.6741,6.5148,6.5394,,,,6.4634,6.7854,6.9908,6.6206,6.6422,6.3333,,6.8156,,,,,,,,,6.8339,6.2416,6.0355,5.8853,5.9848,6.2653,6.3569,6.3338,6.4753,6.5426,6.4262,,6.1821,6.1462,6.4109,6.3458,6.4015,5.6947,5.7087,5.6645,5.908,5.8651,5.9827,6.1287,5.8287,6.0409,6.1204,6.2515,6.1431,6.9756,7.0236,7.0057,7.1173,7.0155,7.0156,7.3263,7.1104,7.2878,7.0587,7.5426,7.5866,6.399,6.4505,6.4879,6.5316,6.496,6.4694,6.6637,6.6158,6.6182,6.8514,6.9383,7.0371,6.9651,7.0484,6.9699,7.168,7.0027,6.8741,7.0895,7.043,6.9215,6.2043,6.1947,6.2408,6.4292,6.3992,6.478,6.6524,6.4851,6.4905,6.7313,6.8421,6.8177,6.5,6.6619,6.6076
244,6.3025,6.3475,6.4461,6.6718,6.5169,6.5416,,,,6.4657,6.7853,6.9912,6.6216,6.643,6.3356,,6.8151,,,,,,,,,6.8359,6.2443,6.0382,5.8871,5.9868,6.2681,6.3603,6.3366,6.4754,6.5425,6.4287,,6.1822,6.1485,6.4131,6.3473,6.4064,5.6977,5.7112,5.667,5.9087,5.8679,5.9849,6.1318,5.8306,6.0417,6.1226,6.2533,6.1451,6.9774,7.0246,7.0074,7.1189,7.0185,7.0168,7.3282,7.1123,7.2892,7.0612,7.5429,7.5899,6.401,6.4514,6.488,6.5343,6.4967,6.4703,6.6661,6.6184,6.62,6.8539,6.9404,7.0392,6.9674,7.0494,6.9713,7.17,7.0056,6.8767,7.0896,7.0453,6.9249,6.2063,6.1973,6.2428,6.4323,6.4041,6.4793,6.6549,6.4847,6.495,6.7326,6.8444,6.8167,6.5028,6.6645,6.6089
248,6.3019,6.3505,6.4482,6.6719,6.5204,6.5433,,,,6.4684,6.788,6.9908,6.625,6.6441,6.3373,,6.8177,,,,,,,,,6.8358,6.248,6.0399,5.8902,5.9877,6.2709,6.361,6.3391,6.4765,6.542,6.43,,6.1848,6.1488,6.4165,6.3484,6.4073,5.6984,5.7134,5.6695,5.9112,5.8678,5.9874,6.1338,5.8323,6.0424,6.1246,6.2545,6.1492,6.9795,7.0243,7.01,7.1207,7.0239,7.0191,7.3307,7.114,7.29,7.0632,7.5472,7.592,6.403,6.453,6.491,6.536,6.4956,6.4711,6.6682,6.6185,6.6227,6.855,6.9409,7.0361,6.969,7.0518,6.9752,7.1691,7.0073,6.878,7.0909,7.0465,6.9258,6.2064,6.1989,6.2426,6.434,6.4065,6.4804,6.6572,6.4865,6.4977,6.7355,6.8468,6.8207,6.5063,6.6682,6.6095
